Palabra,Frecuencia,Sentimiento
idiot,20,Negativa
agree,20,Neutral
class,20,Neutral
poor,20,Negativa
issue,20,Negativa
act,20,Neutral
border,20,Neutral
told,20,Neutral
smart,20,Positiva
tax,20,Neutral
million,20,Neutral
race,20,Neutral
seems,20,Neutral
school,20,Neutral
office,19,Neutral
story,19,Neutral
attempt,19,Neutral
garbage,19,Negativa
liberal,19,Neutral
guess,19,Neutral
absolutely,19,Neutral
literally,19,Neutral
else,19,Neutral
dude,19,Neutral
administration,19,Neutral
government,19,Neutral
jesus,19,Neutral
making,19,Neutral
team,19,Neutral
trust,19,Positiva
bill,19,Neutral
leader,18,Neutral
clearly,18,Positiva
hand,18,Neutral
ive,18,Neutral
mate,18,Neutral
service,18,Neutral
problem,18,Negativa
ask,18,Neutral
amazing,18,Positiva
little,18,Neutral
others,18,Neutral
marine,18,Neutral
msnbc,18,Neutral
read,17,Neutral
instead,17,Neutral
around,17,Neutral
thought,17,Neutral
j,17,Neutral
terrible,17,Negativa
human,17,Neutral
senator,17,Neutral
view,17,Neutral
matter,17,Neutral
ramaswamy,17,Neutral
telling,17,Neutral
economy,17,Neutral
evil,17,Negativa
clown,17,Neutral
voted,17,Neutral
john,17,Neutral
felon,17,Negativa
getting,17,Neutral
project,16,Neutral
puppet,16,Negativa
gop,16,Neutral
biased,16,Negativa
find,16,Neutral
yet,16,Neutral
wouldnt,16,Neutral
campaign,16,Neutral
trash,16,Negativa
check,16,Neutral
wish,16,Neutral
follow,16,Neutral
freedom,16,Positiva
racist,16,Negativa
intelligent,16,Positiva
whole,15,Neutral
either,15,Neutral
second,15,Neutral
took,15,Neutral
might,15,Neutral
nazi,15,Neutral
thinking,15,Neutral
book,15,Neutral
channel,15,Neutral
minute,15,Neutral
ago,15,Neutral
long,15,Neutral
boy,15,Neutral
baby,15,Neutral
listen,15,Neutral
democratic,15,Neutral
protect,15,Positiva
disgusting,15,Negativa
fool,15,Negativa
collins,15,Neutral
hell,15,Negativa
obama,15,Neutral
reporter,15,Neutral
belief,15,Neutral
