Palabra,Frecuencia,Sentimiento
win,62,Positiva
fact,61,Neutral
person,61,Neutral
better,61,Positiva
real,60,Neutral
work,60,Positiva
show,60,Neutral
voting,60,Neutral
talking,60,Neutral
support,59,Positiva
tax,58,Neutral
anything,58,Neutral
always,58,Neutral
house,58,Neutral
school,58,Neutral
old,56,Neutral
anyone,56,Neutral
border,56,Neutral
coach,56,Neutral
running,55,Neutral
word,55,Neutral
life,54,Neutral
done,53,Neutral
left,53,Neutral
sure,53,Neutral
bad,53,Negativa
money,53,Neutral
mean,52,Neutral
stop,52,Neutral
every,51,Neutral
everyone,51,Neutral
help,51,Neutral
million,51,Neutral
comment,50,Neutral
calling,50,Neutral
plan,50,Neutral
harriswalz,50,Neutral
jd,50,Neutral
governor,49,Neutral
musk,49,Neutral
saying,49,Neutral
donald,49,Neutral
hate,49,Negativa
kid,49,Neutral
question,49,Neutral
issue,48,Negativa
elon,47,Neutral
job,47,Neutral
business,47,Neutral
office,47,Neutral
war,47,Neutral
feel,47,Neutral
truth,47,Neutral
two,47,Neutral
taco,47,Neutral
liar,46,Negativa
china,46,Neutral
vice,46,Negativa
government,46,Neutral
watch,46,Neutral
actually,46,Neutral
oh,46,Neutral
lot,46,Neutral
rico,46,Neutral
voted,45,Neutral
lol,45,Neutral
keep,45,Neutral
big,45,Neutral
democratic,45,Neutral
everything,44,Neutral
next,44,Neutral
campaign,44,Neutral
last,43,Neutral
called,43,Neutral
trying,43,Neutral
covid,42,Neutral
fake,42,Negativa
around,42,Neutral
leader,42,Neutral
usa,42,Neutral
james,42,Neutral
medium,41,Neutral
new,41,Neutral
free,41,Positiva
abortion,41,Neutral
dad,41,Neutral
economic,40,Neutral
democracy,40,Neutral
freedom,40,Positiva
name,40,Neutral
already,40,Neutral
run,40,Neutral
obama,40,Neutral
stupid,40,Negativa
lying,39,Negativa
wife,39,Neutral
must,39,Neutral
since,38,Neutral
idiot,38,Negativa
youre,38,Neutral
debate,38,Neutral
public,38,Neutral
without,38,Neutral
men,38,Neutral
problem,38,Negativa
isnt,38,Neutral
true,38,Neutral
shes,38,Neutral
something,37,Neutral
home,37,Neutral
clown,37,Neutral
yes,37,Neutral
news,36,Neutral
law,36,Neutral
rally,36,Neutral
city,36,Neutral
father,36,Neutral
lied,36,Negativa
human,36,Neutral
another,36,Neutral
administration,35,Neutral
politics,35,Neutral
economy,35,Neutral
open,35,Neutral
live,35,Neutral
part,35,Neutral
funny,35,Negativa
sound,34,Neutral
seems,34,Neutral
making,34,Neutral
little,34,Neutral
bathroom,34,Neutral
kind,34,Neutral
may,33,Neutral
used,33,Neutral
answer,33,Neutral
timmy,33,Neutral
video,33,Neutral
citizen,33,Neutral
bill,33,Neutral
wrong,33,Negativa
whole,33,Neutral
rich,32,Positiva
wow,32,Positiva
political,32,Neutral
try,32,Neutral
dems,32,Neutral
control,32,Neutral
racist,32,Negativa
class,32,Neutral
friend,31,Neutral
face,31,Neutral
respect,30,Positiva
leadership,30,Neutral
full,30,Neutral
military,30,Neutral
candidate,30,Neutral
working,30,Neutral
theyre,30,Neutral
nation,30,Neutral
away,30,Neutral
fix,30,Neutral
mr,30,Neutral
understand,30,Neutral
team,30,Neutral
song,30,Neutral
price,29,Neutral
else,29,Neutral
trash,29,Negativa
joe,29,Neutral
united,29,Neutral
ive,29,Neutral
voter,29,Neutral
wait,29,Neutral
matter,29,Neutral
place,28,Neutral
politician,28,Neutral
future,28,Neutral
getting,28,Neutral
normal,28,Neutral
told,28,Neutral
fun,28,Positiva
find,28,Neutral
use,28,Neutral
wont,28,Neutral
went,28,Neutral
supporter,28,Positiva
car,28,Neutral
parent,28,Neutral
entire,27,Neutral
couldnt,27,Neutral
dude,27,Neutral
teacher,27,Neutral
service,27,Neutral
together,27,Neutral
half,27,Neutral
th,27,Neutral
na,27,Neutral
sense,27,Neutral
proud,27,Positiva
yet,27,Neutral
worst,26,Negativa
maga,26,Neutral
whats,26,Neutral
stand,26,Neutral
communist,26,Neutral
night,26,Neutral
crime,26,Negativa
pay,26,Neutral
thanks,26,Neutral
ask,26,Neutral
b,26,Neutral
illegal,26,Negativa
literally,26,Neutral
eye,26,Neutral
thought,26,Neutral
middle,26,Neutral
fox,26,Neutral
side,26,Neutral
swift,26,Positiva
speak,25,Neutral
wouldnt,25,Neutral
line,25,Neutral
hand,25,Neutral
read,25,Neutral
saw,25,Neutral
liberal,25,Neutral
bring,25,Neutral
reason,25,Neutral
seen,24,Neutral
health,24,Neutral
act,24,Neutral
national,24,Neutral
turn,24,Neutral
stage,24,Neutral
high,24,Neutral
record,24,Neutral
hell,24,Negativa
poor,24,Negativa
save,24,Neutral
security,24,Neutral
stolen,24,Negativa
food,24,Neutral
ticket,24,Neutral
definitely,24,Neutral
maybe,24,Neutral
coming,24,Neutral
interview,24,Neutral
illegals,24,Neutral
cbs,24,Neutral
tucker,23,Neutral
hear,23,Neutral
community,23,Neutral
paid,23,Neutral
moment,23,Neutral
gun,23,Neutral
mouth,23,Neutral
remember,23,Neutral
point,23,Neutral
disgusting,23,Negativa
choice,23,Neutral
enough,23,Positiva
change,23,Neutral
absolutely,23,Neutral
mind,23,Neutral
hard,23,Negativa
sad,22,Negativa
young,22,Neutral
fight,22,Neutral
history,22,Neutral
others,22,Neutral
giving,22,Neutral
heard,22,Neutral
id,22,Neutral
gon,22,Neutral
girl,22,Neutral
guess,22,Neutral
dollar,22,Neutral
beautiful,22,Positiva
k,22,Neutral
using,21,Neutral
clearly,21,Positiva
imagine,21,Neutral
far,21,Neutral
might,21,Neutral
brother,21,Neutral
burn,21,Negativa
case,21,Neutral
worse,21,Negativa
start,21,Neutral
gu,21,Neutral
probably,21,Neutral
smart,21,Positiva
level,21,Neutral
today,20,Neutral
pretty,20,Positiva
claim,20,Neutral
instead,20,Neutral
race,20,Neutral
truck,20,Neutral
move,20,Neutral
head,20,Neutral
gov,20,Neutral
mother,20,Neutral
project,20,Neutral
immigrant,20,Neutral
ill,20,Neutral
watching,20,Neutral
four,20,Neutral
wish,20,Neutral
inflation,20,Neutral
ago,20,Neutral
comedian,20,Neutral
island,20,Neutral
moderator,20,Neutral
crowd,19,Neutral
daughter,19,Neutral
gas,19,Neutral
cut,19,Neutral
age,19,Neutral
straight,19,Neutral
wanted,19,Neutral
latino,19,Neutral
end,19,Neutral
ballot,19,Neutral
long,19,Neutral
valor,19,Positiva
alone,19,Neutral
wasnt,19,Neutral
baby,19,Neutral
view,19,Neutral
hot,19,Positiva
term,18,Neutral
top,18,Positiva
insult,18,Negativa
pandemic,18,Neutral
deal,18,Neutral
door,18,Neutral
yeah,18,Neutral
super,18,Positiva
november,18,Neutral
wonder,18,Positiva
value,18,Neutral
forward,18,Neutral
power,18,Neutral
trust,18,Positiva
difference,18,Neutral
creepy,18,Negativa
gave,18,Neutral
share,18,Neutral
pick,18,Neutral
glad,18,Positiva
buy,18,Neutral
putting,18,Neutral
amazing,18,Positiva
mate,18,Neutral
sorry,18,Negativa
past,18,Neutral
global,18,Neutral
clear,17,Positiva
social,17,Neutral
low,17,Neutral
student,17,Neutral
company,17,Neutral
almost,17,Neutral
mn,17,Neutral
stay,17,Neutral
jail,17,Neutral
honest,17,Positiva
truly,17,Neutral
character,17,Neutral
dangerous,17,Negativa
become,17,Neutral
though,17,Neutral
story,17,Neutral
month,17,Neutral
bunch,17,Neutral
criminal,17,Negativa
allowed,17,Neutral
important,17,Positiva
